id,temp,screen,activeTime,offTime,voltage,last_activeTime,last_offTime,last_activeTemp,last_offTemp,label
254,32,0,0,124,4105,41,0,32,32,27.7
254,30,1,170,0,3973,0,620,27,27,25.3
254,31,1,38,0,4099,0,291,32,31,27.7
254,31,0,0,98,4132,9,0,31,31,27.7
254,28,0,0,147,4015,7,0,27,27,25.6
254,28,0,0,63,3950,60,0,28,28,25.7
254,32,0,0,81,4090,57,0,32,31,27.7
254,23,1,507,0,3526,0,242,23,23,20.0
254,32,0,0,208,4129,1,0,32,32,27.6
254,30,0,0,220,4037,284,0,31,27,25.4
254,31,0,0,231,4133,57,0,32,31,27.6
254,28,0,0,138,3950,60,0,28,28,25.7
254,31,0,0,273,4132,9,0,31,31,27.7
254,28,0,0,178,3950,60,0,28,28,25.6
254,23,1,0,0,3526,0,242,23,23,20.0
254,29,1,80,0,3937,0,620,27,27,25.3
254,23,1,262,0,3526,0,242,23,23,20.1
254,30,0,0,297,4178,44,0,30,29,27.5
254,34,0,0,122,4113,627,0,29,29,27.6
254,23,0,0,23,3526,798,0,23,23,19.8
254,23,0,0,207,3526,15,0,23,23,20.0
254,23,0,0,227,3526,15,0,23,23,20.0
254,32,0,0,96,4090,57,0,32,31,27.6
254,23,1,452,0,3526,0,242,23,23,20.1
254,23,0,0,18,3526,798,0,23,23,19.8
254,27,0,0,208,4003,26,0,27,26,25.2
254,32,0,0,101,4090,57,0,32,31,27.6
254,33,0,0,35,4147,1,0,33,33,27.6
254,22,0,0,71,3497,9,0,22,22,19.3
254,28,0,0,27,4015,7,0,27,27,25.6
254,23,1,517,0,3526,0,242,23,23,20.0
254,23,0,0,78,3526,798,0,23,23,19.7
254,33,0,0,0,4036,1,0,33,33,27.6
254,23,0,0,153,3526,798,0,23,23,19.7
254,32,0,0,148,4105,1,0,32,32,27.6
254,27,0,0,73,4003,26,0,27,26,25.2
254,32,0,0,31,4090,57,0,32,31,27.7
254,23,0,0,212,3526,15,0,23,23,20.0
254,31,0,0,183,4120,1,0,32,32,27.6
254,34,0,0,197,4113,627,0,29,29,27.6
254,23,1,407,0,3526,0,242,23,23,20.2
254,23,0,0,43,3526,798,0,23,23,19.8
254,34,0,0,212,4113,627,0,29,29,27.6
254,30,0,0,182,4178,44,0,30,29,27.5
254,28,1,70,0,3942,0,620,27,27,25.3
254,28,0,0,102,4015,7,0,27,27,25.6
254,23,1,652,0,3526,0,242,23,23,19.8
254,31,0,0,28,4132,9,0,31,31,27.6
254,32,0,0,22,4105,1,0,32,32,27.8
254,31,0,0,25,3975,284,0,31,27,25.4
254,22,0,0,61,3497,9,0,22,22,19.3
254,27,0,0,103,4003,26,0,27,26,25.2
254,22,0,0,51,3497,9,0,22,22,19.3
254,32,0,0,120,4144,1,0,33,33,27.6
254,30,0,0,127,4178,44,0,30,29,27.5
254,32,0,0,52,4105,1,0,32,32,27.7
254,23,0,0,143,3526,798,0,23,23,19.7
254,28,0,0,21,3554,75,0,28,28,22.8
254,28,0,0,158,3950,60,0,28,28,25.6
254,28,0,0,143,3950,60,0,28,28,25.7
254,23,1,242,0,3526,0,242,23,23,20.0
254,31,0,0,278,4131,1,0,32,32,27.7
254,32,0,0,55,4144,1,0,33,33,27.6
254,23,0,0,167,3526,15,0,23,23,20.1
254,31,0,0,268,4131,1,0,32,32,27.7
254,31,0,0,206,4133,57,0,32,31,27.6
254,31,0,0,78,4132,9,0,31,31,27.7
254,34,0,0,72,4113,627,0,29,29,27.6
254,32,0,0,14,4135,11,0,31,31,27.6
254,23,0,0,38,3526,798,0,23,23,19.8
254,28,0,0,137,4015,7,0,27,27,25.6
254,32,0,0,143,4105,1,0,32,32,27.6
254,32,0,0,19,4135,11,0,31,31,27.6
254,28,0,0,11,3554,75,0,28,28,22.8
254,23,0,0,8,3526,798,0,23,23,19.8
254,23,0,0,238,3526,798,0,23,23,19.8
254,30,0,0,240,4037,284,0,31,27,25.4
254,23,0,0,157,3526,15,0,23,23,20.1
254,23,1,367,0,3526,0,242,23,23,20.1
254,31,0,0,38,4132,9,0,31,31,27.6
254,32,0,0,65,4144,1,0,33,33,27.6
254,23,1,592,0,3526,0,242,23,23,19.8
254,28,0,0,273,4015,7,0,27,27,25.6
254,28,0,0,83,3950,60,0,28,28,25.7
254,32,0,0,60,4144,1,0,33,33,27.6
254,32,0,0,64,4105,41,0,32,32,27.6
254,28,1,55,0,3942,0,620,27,27,25.3
254,28,0,0,107,4015,7,0,27,27,25.6
254,34,0,0,137,4113,627,0,29,29,27.6
254,23,1,707,0,3526,0,242,23,23,19.8
254,23,0,0,132,3526,15,0,23,23,20.0
254,27,1,22,0,3638,0,70,28,27,22.8
254,32,0,0,91,4090,57,0,32,31,27.6
254,31,0,0,286,4133,57,0,32,31,27.6
254,27,1,32,0,3638,0,70,28,27,22.8
254,31,1,8,0,4131,0,291,32,31,27.7
254,34,0,0,52,4113,627,0,29,29,27.6
254,30,0,0,227,4178,44,0,30,29,27.5
254,31,0,0,161,4133,57,0,32,31,27.6
254,28,0,0,193,4015,7,0,27,27,25.6
254,27,0,0,188,4003,26,0,27,26,25.2
254,30,0,0,160,4037,284,0,31,27,25.4
254,32,0,0,76,4090,57,0,32,31,27.7
254,30,0,0,72,4178,44,0,30,29,27.5
254,31,0,0,186,4133,57,0,32,31,27.6
254,27,0,0,273,4003,26,0,27,26,25.2
254,27,0,0,173,4003,26,0,27,26,25.2
254,27,0,0,56,3638,75,0,28,28,22.8
254,31,0,0,68,4132,9,0,31,31,27.7
254,32,0,0,275,4144,1,0,33,33,27.5
254,27,0,0,128,4003,26,0,27,26,25.2
254,23,0,0,147,3526,15,0,23,23,20.1
254,28,0,0,278,4015,7,0,27,27,25.6
254,23,1,372,0,3526,0,242,23,23,20.1
